Class,Mean Intensity,Std Intensity,Mean R,Mean G,Mean B,Std R,Std G,Std B,Var R,Var G,Var B
q,78.0104,19.6083628,139.5392,57.7112,21.1764,38.20125212,16.51304316,17.46437755,1459.335663,272.6805946,305.004483
q,81.6404,24.58125887,133.8248,65.0656,30.2404,51.15163834,21.56038257,23.49829372,2616.490105,464.8500966,552.1698078
q,75.1752,22.4184501,97.6604,67.2276,56.9236,32.79475982,20.69467077,23.85848619,1075.496272,428.2693982,569.227363
q,81.8724,35.00395575,100.3564,75.0852,68.39,42.10321341,33.10491717,33.53979577,1772.680579,1095.935541,1124.9179
q,36.612,32.83848742,51.1108,32.7532,18.3684,48.18688746,29.84576837,19.09493863,2321.976123,890.7698898,364.6166814
q,102.0668,23.76996293,105.4244,99.8688,104.4812,31.3764543,21.72553306,26.41272509,984.4818846,471.9987866,697.6320466
q,58.1712,30.176552,81.892,52.0244,27.57,38.38459503,28.88380523,23.15482455,1473.377136,834.2742046,536.1459
q,41.5544,23.70812183,59.06,37.0632,18.7696,31.84690252,22.45158359,17.30772417,1014.2252,504.0736058,299.5573158
q,70.4668,39.66806395,82.2348,66.7832,58.6368,47.01724438,39.56423888,41.43166043,2210.621269,1565.328998,1716.582486
q,65.2304,35.32702812,95.696,55.8904,33.3764,56.14130373,31.57230413,25.86926213,3151.845984,996.8103878,669.218723
q,63.0868,33.05025364,100.2064,51.3308,26.2616,53.8903906,28.85125598,21.39812061,2904.174199,832.3949714,457.8795654
q,93.904,37.05824043,158.2884,75.43,20.1544,60.82317671,33.40712948,17.94108583,3699.458825,1116.0363,321.8825606
q,87.47,14.08268085,116.1284,77.2944,64.6648,25.27930208,11.60550424,10.57035671,639.0431134,134.6877286,111.732441
q,66.6028,14.7228337,66.2144,68.3836,58.4572,20.54983291,13.01533138,13.4648345,422.2956326,169.398851,181.3017682
q,94.3684,26.51652846,121.3788,85.6272,68.794,54.65941191,17.9089313,11.47667042,2987.651311,320.7298202,131.713964
q,138.38,33.60796929,209.4148,114.4232,75.3788,49.44751906,31.36454211,27.22540194,2445.057141,983.7345018,741.2225106
q,89.0608,24.17559727,118.9876,78.3528,65.6004,43.7127378,20.518741,20.58962651,1910.803446,421.0187322,423.9327198
q,63.606,13.35648022,61.1676,66.3436,55.856,17.51733742,12.26813511,10.93076685,306.8571102,150.507139,119.481664
q,71.4748,16.29747726,94.6916,63.0668,53.7752,36.31986357,10.10860711,4.637053478,1319.132489,102.1839378,21.50226496
q,89.2624,22.81883315,143.4128,69.3788,49.6192,45.93302076,15.87398219,7.197429497,2109.842396,251.9833106,51.80299136
q,81.034,20.82640737,101.5548,73.5596,65.6632,42.01255761,16.01154733,16.340972,1765.054997,256.3696478,267.0273658
